X,Y,track_fid,track_seg_id,track_seg_point_id,ele,time,magvar,geoidheight,name,cmt,desc,src,link1_href,link1_text,link1_type,link2_href,link2_text,link2_type,sym,type,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid
83.732886,28.36055,0,0,54,2131,2017/07/08 00:28:02+00,,,,,,,,,,,,,,,,,,,,,
83.732925,28.36066,0,0,55,2137.6,2017/07/08 00:28:15+00,,,,,,,,,,,,,,,,,,,,,
83.732923,28.360742,0,0,56,2143.8,2017/07/08 00:28:28+00,,,,,,,,,,,,,,,,,,,,,
83.732906,28.360804,0,0,57,2147.7,2017/07/08 00:28:41+00,,,,,,,,,,,,,,,,,,,,,
83.732903,28.360941,0,0,58,2155.1,2017/07/08 00:28:53+00,,,,,,,,,,,,,,,,,,,,,
83.732893,28.361046,0,0,59,2159.5,2017/07/08 00:29:07+00,,,,,,,,,,,,,,,,,,,,,
83.732894,28.36108,0,0,60,2159.7,2017/07/08 00:29:19+00,,,,,,,,,,,,,,,,,,,,,
83.732855,28.361135,0,0,61,2160.5,2017/07/08 00:29:33+00,,,,,,,,,,,,,,,,,,,,,
83.732895,28.361169,0,0,62,2161.6,2017/07/08 00:29:46+00,,,,,,,,,,,,,,,,,,,,,
83.73292,28.361215,0,0,63,2164,2017/07/08 00:29:59+00,,,,,,,,,,,,,,,,,,,,,
83.732913,28.361244,0,0,64,2166.2,2017/07/08 00:30:12+00,,,,,,,,,,,,,,,,,,,,,
83.732931,28.361391,0,0,65,2168.9,2017/07/08 00:30:27+00,,,,,,,,,,,,,,,,,,,,,
83.732973,28.361513,0,0,66,2168.6,2017/07/08 00:30:42+00,,,,,,,,,,,,,,,,,,,,,
83.732965,28.36153,0,0,67,2169.7,2017/07/08 00:31:01+00,,,,,,,,,,,,,,,,,,,,,
83.73297,28.361621,0,0,68,2174.7,2017/07/08 00:31:16+00,,,,,,,,,,,,,,,,,,,,,
83.732915,28.361689,0,0,69,2179.7,2017/07/08 00:31:29+00,,,,,,,,,,,,,,,,,,,,,
83.732901,28.361806,0,0,70,2184.1,2017/07/08 00:31:42+00,,,,,,,,,,,,,,,,,,,,,
83.73297,28.36193,0,0,71,2184.7,2017/07/08 00:31:57+00,,,,,,,,,,,,,,,,,,,,,
83.733049,28.362003,0,0,72,2176.6,2017/07/08 00:32:10+00,,,,,,,,,,,,,,,,,,,,,
83.733116,28.362091,0,0,73,2173.5,2017/07/08 00:32:26+00,,,,,,,,,,,,,,,,,,,,,
83.733151,28.362163,0,0,74,2172.3,2017/07/08 00:32:40+00,,,,,,,,,,,,,,,,,,,,,
83.733177,28.362239,0,0,75,2172.1,2017/07/08 00:32:51+00,,,,,,,,,,,,,,,,,,,,,
83.733215,28.362401,0,0,76,2176.6,2017/07/08 00:33:08+00,,,,,,,,,,,,,,,,,,,,,
83.733277,28.3625,0,0,77,2177.8,2017/07/08 00:33:21+00,,,,,,,,,,,,,,,,,,,,,
