2022484408,all Data all Time,-12443285068264,Elapsed time:,0.052186012268066406
Distance:,67438030.08110575,m,Overall time:,41.08318591117859, Elapsed time:,37.79135179519653
Distance:,67438030.08110575,m,Overall time:,41.10992217063904, Elapsed time:,40.7238883972168
Distance:,67438030.08110575,m,Overall time:,41.29649090766907, Elapsed time:,41.27397918701172
Distance:,67438030.08110575,m,Overall time:,41.301777362823486, Elapsed time:,41.17146348953247
Distance:,67438030.08110575,m,Overall time:,41.3066725730896, Elapsed time:,41.19881224632263
Distance:,67438030.08705032,m,Overall time:,39.93401646614075, Elapsed time:,39.07927370071411
Distance:,67438030.08705032,m,Overall time:,39.93828725814819, Elapsed time:,39.12462377548218
Distance:,67438030.08705032,m,Overall time:,40.04618000984192, Elapsed time:,40.027095556259155
Distance:,67438030.08705032,m,Overall time:,39.95483088493347, Elapsed time:,39.794079542160034
Distance:,67438030.08705032,m,Overall time:,39.98043942451477, Elapsed time:,39.818806171417236
Distance:,67438030.11810818,m,Overall time:,42.01598787307739, Elapsed time:,40.54305577278137
Distance:,67438030.11810818,m,Overall time:,42.11559200286865, Elapsed time:,40.66450786590576
Distance:,67438030.11810818,m,Overall time:,42.32521343231201, Elapsed time:,42.305198431015015
Distance:,67438030.11810818,m,Overall time:,42.32011961936951, Elapsed time:,42.11117482185364
Distance:,67438030.11810818,m,Overall time:,42.35446834564209, Elapsed time:,42.14775109291077
Distance:,67438030.12929335,m,Overall time:,39.85100245475769, Elapsed time:,39.82966184616089
Distance:,67438030.12929335,m,Overall time:,39.754698753356934, Elapsed time:,39.71732497215271
Distance:,67438030.12929335,m,Overall time:,39.52317500114441, Elapsed time:,39.401593923568726
Distance:,67438030.12929335,m,Overall time:,39.882526874542236, Elapsed time:,39.32770037651062
Distance:,67438030.12929335,m,Overall time:,39.70857810974121, Elapsed time:,39.19826650619507
Distance:,67438030.05169712,m,Overall time:,28.41880440711975, Elapsed time:,28.403319835662842
Distance:,67438030.05169712,m,Overall time:,28.555033206939697, Elapsed time:,28.539774656295776
Distance:,67438030.05169712,m,Overall time:,28.58164381980896, Elapsed time:,28.354610681533813
Distance:,67438030.09071033,m,Overall time:,27.90861988067627, Elapsed time:,27.89123249053955
Distance:,67438030.09071033,m,Overall time:,27.906779289245605, Elapsed time:,27.88604426383972
Distance:,67438030.09071033,m,Overall time:,27.911866188049316, Elapsed time:,27.84427499771118
Distance:,67438029.9474043,m,Overall time:,28.04373264312744, Elapsed time:,27.968672275543213
Distance:,67438029.9474043,m,Overall time:,28.1908221244812, Elapsed time:,28.175068855285645
Distance:,67438029.9474043,m,Overall time:,28.179304122924805, Elapsed time:,27.996933221817017
Distance:,67438030.03181648,m,Overall time:,27.94098138809204, Elapsed time:,27.924525260925293
Distance:,67438030.03181648,m,Overall time:,27.842237949371338, Elapsed time:,27.794225692749023
Distance:,67438030.03181648,m,Overall time:,28.01899218559265, Elapsed time:,27.388511419296265
Distance:,67438030.02789183,m,Overall time:,69.71429204940796, Elapsed time:,68.83913326263428
Distance:,67438030.02789183,m,Overall time:,69.72160053253174, Elapsed time:,68.68333435058594
Distance:,67438030.02789183,m,Overall time:,69.83392405509949, Elapsed time:,68.59221339225769
Distance:,67438030.02789183,m,Overall time:,69.88444805145264, Elapsed time:,69.68689179420471
Distance:,67438030.02789183,m,Overall time:,69.88834238052368, Elapsed time:,69.69176840782166
Distance:,67438030.02789183,m,Overall time:,70.09764885902405, Elapsed time:,70.07191801071167
Distance:,67438030.02789183,m,Overall time:,69.89137387275696, Elapsed time:,69.69273734092712
Distance:,67438029.9566478,m,Overall time:,72.64923524856567, Elapsed time:,70.02149271965027
Distance:,67438029.9566478,m,Overall time:,72.79519724845886, Elapsed time:,71.53354716300964
Distance:,67438029.9566478,m,Overall time:,72.79840588569641, Elapsed time:,71.54461169242859
Distance:,67438029.9566478,m,Overall time:,72.81915640830994, Elapsed time:,72.79706025123596
Distance:,67438029.9566478,m,Overall time:,72.93121910095215, Elapsed time:,72.73389744758606
Distance:,67438029.9566478,m,Overall time:,72.81943249702454, Elapsed time:,72.61944556236267
Distance:,67438029.9566478,m,Overall time:,72.92515921592712, Elapsed time:,72.72681760787964
Distance:,67438030.03417456,m,Overall time:,66.68159556388855, Elapsed time:,66.64202785491943
Distance:,67438030.03417456,m,Overall time:,66.89527893066406, Elapsed time:,66.66748809814453
Distance:,67438030.03417456,m,Overall time:,66.85464549064636, Elapsed time:,66.60764002799988
Distance:,67438030.03417456,m,Overall time:,66.91588521003723, Elapsed time:,66.89433574676514
Distance:,67438030.03417456,m,Overall time:,66.88899517059326, Elapsed time:,66.58202791213989
Distance:,67438030.03417456,m,Overall time:,67.03193211555481, Elapsed time:,66.74505543708801
Distance:,67438030.03417456,m,Overall time:,66.97777557373047, Elapsed time:,66.67667508125305
Distance:,67438030.00761618,m,Overall time:,67.11896705627441, Elapsed time:,67.09384751319885
Distance:,67438030.00761618,m,Overall time:,67.32917666435242, Elapsed time:,67.30817222595215
Distance:,67438030.00761618,m,Overall time:,68.04519891738892, Elapsed time:,66.55609893798828
Distance:,67438030.00761618,m,Overall time:,67.52986454963684, Elapsed time:,66.30425333976746
Distance:,67438030.00761618,m,Overall time:,68.14196419715881, Elapsed time:,67.99757242202759
Distance:,67438030.00761618,m,Overall time:,67.83750581741333, Elapsed time:,66.50067114830017
Distance:,67438030.00761618,m,Overall time:,67.9485673904419, Elapsed time:,67.79321336746216
Distance:,67438030.09701575,m,Overall time:,28.393373250961304, Elapsed time:,28.280689239501953
